"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6139","Авторизация с не верным паспортом или паролем","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","4949","Авторизация с не верным паспортом или паролем","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","7225","Успешная авторизация","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","2153","Тест отображение карточек на странице dashboard","LMS system","2026-08-14","passed","2026-08-14","Dashboard","Dashboard","",""
"","6612","Не успешная регистрация с не верным email, username и password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","4078","Тест редактирования курса","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","2890","Тест создания курса","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","6138","Авторизация с не верным паспортом или паролем","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","5243","Проверка пустого листа курса","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","3158","Успешная регистрация","LMS system","2026-08-14","passed","2026-08-14","Registration","Authentication","",""
