"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 14 14:32:03 UTC 2026","Fri Aug 14 14:32:05 UTC 2026","2108","LMS system","Authentication","Registration","","","Успешная регистрация",""
"passed","Fri Aug 14 14:32:01 UTC 2026","Fri Aug 14 14:32:04 UTC 2026","3039","LMS system","Authentication","Authorization","","","Успешная авторизация",""
"passed","Fri Aug 14 14:31:58 UTC 2026","Fri Aug 14 14:32:00 UTC 2026","1949","LMS system","Authentication","Authorization","","","Авторизация с не верным паспортом или паролем",""
"passed","Fri Aug 14 14:32:07 UTC 2026","Fri Aug 14 14:32:09 UTC 2026","1745","LMS system","Courses","Courses","","","Проверка пустого листа курса",""
"passed","Fri Aug 14 14:32:01 UTC 2026","Fri Aug 14 14:32:03 UTC 2026","1791","LMS system","Authentication","Authorization","","","Авторизация с не верным паспортом или паролем",""
"passed","Fri Aug 14 14:32:08 UTC 2026","Fri Aug 14 14:32:10 UTC 2026","2539","LMS system","Courses","Courses","","","Тест создания курса",""
"passed","Fri Aug 14 14:32:04 UTC 2026","Fri Aug 14 14:32:06 UTC 2026","1566","LMS system","Authentication","Authorization","","","Не успешная регистрация с не верным email, username и password",""
"passed","Fri Aug 14 14:32:11 UTC 2026","Fri Aug 14 14:32:13 UTC 2026","2214","LMS system","Dashboard","Dashboard","","","Тест отображение карточек на странице dashboard",""
"passed","Fri Aug 14 14:32:09 UTC 2026","Fri Aug 14 14:32:13 UTC 2026","3777","LMS system","Courses","Courses","","","Тест редактирования курса",""
"passed","Fri Aug 14 14:31:58 UTC 2026","Fri Aug 14 14:32:00 UTC 2026","1953","LMS system","Authentication","Authorization","","","Авторизация с не верным паспортом или паролем",""
